1970-01-01 00:54:23.664105 IP 192.168.1.106 > 192.168.1.126: ICMP echo request, id 3, seq 1, length 64
1970-01-01 00:54:23.664233 IP 192.168.1.126 > 192.168.1.106: ICMP echo reply, id 3, seq 1, length 64
1970-01-01 00:54:24.666128 IP 192.168.1.106 > 192.168.1.126: ICMP echo request, id 3, seq 2, length 64
1970-01-01 00:54:24.666234 IP 192.168.1.126 > 192.168.1.106: ICMP echo reply, id 3, seq 2, length 64
1970-01-01 00:54:25.668188 IP 192.168.1.106 > 192.168.1.126: ICMP echo request, id 3, seq 3, length 64
1970-01-01 00:54:25.668310 IP 192.168.1.126 > 192.168.1.106: ICMP echo reply, id 3, seq 3, length 64
1970-01-01 00:55:58.369101 IP 192.168.1.106.63685 > 192.168.1.126.22: Flags [S], seq 400577557, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:55:58.884619 IP 192.168.1.106.63685 > 192.168.1.126.22: Flags [S], seq 400577557, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:55:59.398262 IP 192.168.1.106.63685 > 192.168.1.126.22: Flags [S], seq 400577557, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:55:59.912280 IP 192.168.1.106.63685 > 192.168.1.126.22: Flags [S], seq 400577557, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:56:00.427046 IP 192.168.1.106.63685 > 192.168.1.126.22: Flags [S], seq 400577557, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.826859 IP 192.168.1.106.59552 > 192.168.1.126.5: Flags [S], seq 4059970330, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.827220 IP 192.168.1.106.59553 > 192.168.1.126.3: Flags [S], seq 961744004, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.828323 IP 192.168.1.106.59554 > 192.168.1.126.7: Flags [S], seq 3918669855, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.828706 IP 192.168.1.106.59555 > 192.168.1.126.4: Flags [S], seq 1713618039, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.828710 IP 192.168.1.106.59556 > 192.168.1.126.2: Flags [S], seq 3939572420, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.829270 IP 192.168.1.106.59557 > 192.168.1.126.1: Flags [S], seq 1355627308, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.829273 IP 192.168.1.106.59558 > 192.168.1.126.8: Flags [S], seq 31805178, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.829276 IP 192.168.1.106.59559 > 192.168.1.126.6: Flags [S], seq 2147149574, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.829569 IP 192.168.1.106.59560 > 192.168.1.126.9: Flags [S], seq 3501765765, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.831795 IP 192.168.1.106.59561 > 192.168.1.126.12: Flags [S], seq 1145353517, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.832766 IP 192.168.1.106.59562 > 192.168.1.126.14: Flags [S], seq 2995218424, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.833104 IP 192.168.1.106.59563 > 192.168.1.126.13: Flags [S], seq 1959316283, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.833107 IP 192.168.1.106.59564 > 192.168.1.126.15: Flags [S], seq 3599299380, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.834009 IP 192.168.1.106.59565 > 192.168.1.126.16: Flags [S], seq 1302500654, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.835072 IP 192.168.1.106.59566 > 192.168.1.126.17: Flags [S], seq 1764656280, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.835075 IP 192.168.1.106.59567 > 192.168.1.126.10: Flags [S], seq 3950256326, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.835078 IP 192.168.1.106.59568 > 192.168.1.126.11: Flags [S], seq 3778867981, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.839413 IP 192.168.1.106.59569 > 192.168.1.126.18: Flags [S], seq 3531005044, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.840332 IP 192.168.1.106.59570 > 192.168.1.126.20: Flags [S], seq 42462176, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
